"","Department","Date","Zile"
"145","Breast Oncosurgery, benign",2023-02-03,36
"146","Breast Oncosurgery, benign",2023-02-10,29
"147","Breast Oncosurgery, benign",2023-02-17,24
"148","Breast Oncosurgery, benign",2023-02-24,17
"149","Breast Oncosurgery, benign",2023-03-03,46
"150","Breast Oncosurgery, benign",2023-03-10,39
"151","Breast Oncosurgery, benign",2023-03-17,32
"152","Breast Oncosurgery, benign",2023-03-24,49
"153","Breast Oncosurgery, benign",2023-03-31,53
"154","Breast Oncosurgery, benign",2023-04-07,52
"155","Breast Oncosurgery, benign",2023-04-14,52
"156","Breast Oncosurgery, benign",2023-04-21,45
"157","Breast Oncosurgery, benign",2023-04-28,45
"158","Breast Oncosurgery, benign",2023-05-05,46
"159","Breast Oncosurgery, benign",2023-05-12,46
"160","Breast Oncosurgery, benign",2023-05-19,57
"161","Breast Oncosurgery, benign",2023-05-26,54
"162","Breast Oncosurgery, benign",2023-06-02,64
"163","Breast Oncosurgery, benign",2023-06-09,52
"164","Breast Oncosurgery, benign",2023-06-16,66
"165","Breast Oncosurgery, benign",2023-06-23,57
"166","Breast Oncosurgery, benign",2023-06-30,38
"167","Breast Oncosurgery, benign",2023-07-07,66
"168","Breast Oncosurgery, benign",2023-07-14,50
"169","Breast Oncosurgery, benign",2023-07-21,43
"170","Breast Oncosurgery, benign",2023-07-28,45
"171","Breast Oncosurgery, benign",2023-08-04,64
"172","Breast Oncosurgery, benign",2023-08-11,59
"173","Breast Oncosurgery, benign",2023-08-18,60
"174","Breast Oncosurgery, benign",2023-08-25,59
"175","Breast Oncosurgery, benign",2023-09-01,52
"176","Breast Oncosurgery, benign",2023-09-08,49
"177","Breast Oncosurgery, benign",2023-09-15,53
"178","Breast Oncosurgery, benign",2023-09-22,45
"179","Breast Oncosurgery, benign",2023-09-29,46
"180","Breast Oncosurgery, benign",2023-10-06,46
"181","Breast Oncosurgery, benign",2023-10-13,48
"182","Breast Oncosurgery, benign",2023-10-20,48
"183","Breast Oncosurgery, benign",2023-10-27,41
"184","Breast Oncosurgery, benign",2023-11-03,41
"185","Breast Oncosurgery, benign",2023-11-10,41
"186","Breast Oncosurgery, benign",2023-11-17,39
"187","Breast Oncosurgery, benign",2023-11-24,42
"188","Breast Oncosurgery, benign",2023-12-01,52
"189","Breast Oncosurgery, benign",2023-12-08,48
"190","Breast Oncosurgery, benign",2023-12-15,48
"191","Breast Oncosurgery, benign",2023-12-22,55
"192","Breast Oncosurgery, benign",2023-12-29,46
"193","Breast Oncosurgery, primary malignant",2022-03-04,70
"194","Breast Oncosurgery, primary malignant",2022-03-11,66
"195","Breast Oncosurgery, primary malignant",2022-03-18,63
"196","Breast Oncosurgery, primary malignant",2022-03-25,60
"197","Breast Oncosurgery, primary malignant",2022-04-01,56
"198","Breast Oncosurgery, primary malignant",2022-04-08,60
"199","Breast Oncosurgery, primary malignant",2022-04-15,19
"200","Breast Oncosurgery, primary malignant",2022-04-22,42
"201","Breast Oncosurgery, primary malignant",2022-04-29,51
"202","Breast Oncosurgery, primary malignant",2022-05-06,44
"203","Breast Oncosurgery, primary malignant",2022-05-13,43
"204","Breast Oncosurgery, primary malignant",2022-05-20,42
"205","Breast Oncosurgery, primary malignant",2022-05-27,35
"206","Breast Oncosurgery, primary malignant",2022-06-03,35
"207","Breast Oncosurgery, primary malignant",2022-06-10,35
"208","Breast Oncosurgery, primary malignant",2022-06-17,35
"209","Breast Oncosurgery, primary malignant",2022-06-24,42
"210","Breast Oncosurgery, primary malignant",2022-07-01,38
"211","Breast Oncosurgery, primary malignant",2022-07-08,31
"212","Breast Oncosurgery, primary malignant",2022-07-15,30
"213","Breast Oncosurgery, primary malignant",2022-07-22,28
"214","Breast Oncosurgery, primary malignant",2022-07-29,28
"215","Breast Oncosurgery, primary malignant",2022-08-05,28
"216","Breast Oncosurgery, primary malignant",2022-08-12,28
"217","Breast Oncosurgery, primary malignant",2022-08-19,17
"218","Breast Oncosurgery, primary malignant",2022-08-26,23
"219","Breast Oncosurgery, primary malignant",2022-09-02,28
"220","Breast Oncosurgery, primary malignant",2022-09-09,21
"221","Breast Oncosurgery, primary malignant",2022-09-16,37
"222","Breast Oncosurgery, primary malignant",2022-09-23,37
"223","Breast Oncosurgery, primary malignant",2022-09-30,35
"224","Breast Oncosurgery, primary malignant",2022-10-07,36
"225","Breast Oncosurgery, primary malignant",2022-10-14,22
"226","Breast Oncosurgery, primary malignant",2022-10-21,22
"227","Breast Oncosurgery, primary malignant",2022-10-28,22
"228","Breast Oncosurgery, primary malignant",2022-11-04,22
"229","Breast Oncosurgery, primary malignant",2022-11-11,22
"230","Breast Oncosurgery, primary malignant",2022-11-18,22
"231","Breast Oncosurgery, primary malignant",2022-11-25,29
"232","Breast Oncosurgery, primary malignant",2022-12-02,30
"233","Breast Oncosurgery, primary malignant",2022-12-09,24
"234","Breast Oncosurgery, primary malignant",2022-12-16,17
"235","Breast Oncosurgery, primary malignant",2022-12-23,14
"236","Breast Oncosurgery, primary malignant",2022-12-30,36
"237","Breast Oncosurgery, primary malignant",2023-01-06,39
"238","Breast Oncosurgery, primary malignant",2023-01-13,38
"239","Breast Oncosurgery, primary malignant",2023-01-20,38
"240","Breast Oncosurgery, primary malignant",2023-01-27,37
"241","Breast Oncosurgery, primary malignant",2023-02-03,28
"242","Breast Oncosurgery, primary malignant",2023-02-10,4
"243","Breast Oncosurgery, primary malignant",2023-02-17,14
"244","Breast Oncosurgery, primary malignant",2023-02-24,24
"245","Breast Oncosurgery, primary malignant",2023-03-03,30
"246","Breast Oncosurgery, primary malignant",2023-03-10,29
"247","Breast Oncosurgery, primary malignant",2023-03-17,24
"248","Breast Oncosurgery, primary malignant",2023-03-24,35
"249","Breast Oncosurgery, primary malignant",2023-03-31,39
"250","Breast Oncosurgery, primary malignant",2023-04-07,42
"251","Breast Oncosurgery, primary malignant",2023-04-14,42
"252","Breast Oncosurgery, primary malignant",2023-04-21,39
"253","Breast Oncosurgery, primary malignant",2023-04-28,39
"254","Breast Oncosurgery, primary malignant",2023-05-05,38
"255","Breast Oncosurgery, primary malignant",2023-05-12,43
"256","Breast Oncosurgery, primary malignant",2023-05-19,43
"257","Breast Oncosurgery, primary malignant",2023-05-26,37
"258","Breast Oncosurgery, primary malignant",2023-06-02,42
"259","Breast Oncosurgery, primary malignant",2023-06-09,35
"260","Breast Oncosurgery, primary malignant",2023-06-16,35
"261","Breast Oncosurgery, primary malignant",2023-06-23,42
"262","Breast Oncosurgery, primary malignant",2023-06-30,14
"263","Breast Oncosurgery, primary malignant",2023-07-07,32
"264","Breast Oncosurgery, primary malignant",2023-07-14,35
"265","Breast Oncosurgery, primary malignant",2023-07-21,22
"266","Breast Oncosurgery, primary malignant",2023-07-28,23
"267","Breast Oncosurgery, primary malignant",2023-08-04,44
"268","Breast Oncosurgery, primary malignant",2023-08-11,39
"269","Breast Oncosurgery, primary malignant",2023-08-18,42
"270","Breast Oncosurgery, primary malignant",2023-08-25,39
"271","Breast Oncosurgery, primary malignant",2023-09-01,35
"272","Breast Oncosurgery, primary malignant",2023-09-08,37
"273","Breast Oncosurgery, primary malignant",2023-09-15,42
"274","Breast Oncosurgery, primary malignant",2023-09-22,36
"275","Breast Oncosurgery, primary malignant",2023-09-29,22
"276","Breast Oncosurgery, primary malignant",2023-10-06,7
"277","Breast Oncosurgery, primary malignant",2023-10-13,7
"278","Breast Oncosurgery, primary malignant",2023-10-20,39
"279","Breast Oncosurgery, primary malignant",2023-10-27,32
"280","Breast Oncosurgery, primary malignant",2023-11-03,32
"281","Breast Oncosurgery, primary malignant",2023-11-10,31
"282","Breast Oncosurgery, primary malignant",2023-11-17,33
"283","Breast Oncosurgery, primary malignant",2023-11-24,34
"284","Breast Oncosurgery, primary malignant",2023-12-01,35
"285","Breast Oncosurgery, primary malignant",2023-12-08,39
"286","Breast Oncosurgery, primary malignant",2023-12-15,39
"287","Breast Oncosurgery, primary malignant",2023-12-22,39
"288","Breast Oncosurgery, primary malignant",2023-12-29,39
"289","Breast Oncosurgery, secondary malignant",2022-03-04,29
"290","Breast Oncosurgery, secondary malignant",2022-03-11,29
"291","Breast Oncosurgery, secondary malignant",2022-03-18,29
"292","Breast Oncosurgery, secondary malignant",2022-03-25,29
"293","Breast Oncosurgery, secondary malignant",2022-04-01,29
"294","Breast Oncosurgery, secondary malignant",2022-04-08,29
"295","Breast Oncosurgery, secondary malignant",2022-04-15,29
"296","Breast Oncosurgery, secondary malignant",2022-04-22,29
"297","Breast Oncosurgery, secondary malignant",2022-04-29,29
"298","Breast Oncosurgery, secondary malignant",2022-05-06,29
"299","Breast Oncosurgery, secondary malignant",2022-05-13,29
"300","Breast Oncosurgery, secondary malignant",2022-05-20,29
"301","Breast Oncosurgery, secondary malignant",2022-05-27,29
"302","Breast Oncosurgery, secondary malignant",2022-06-03,29
"303","Breast Oncosurgery, secondary malignant",2022-06-10,29
"304","Breast Oncosurgery, secondary malignant",2022-06-17,29
"305","Breast Oncosurgery, secondary malignant",2022-06-24,29
"306","Breast Oncosurgery, secondary malignant",2022-07-01,29
"307","Breast Oncosurgery, secondary malignant",2022-07-08,29
"308","Breast Oncosurgery, secondary malignant",2022-07-15,29
"309","Breast Oncosurgery, secondary malignant",2022-07-22,29
"310","Breast Oncosurgery, secondary malignant",2022-07-29,29
"311","Breast Oncosurgery, secondary malignant",2022-08-05,29
"312","Breast Oncosurgery, secondary malignant",2022-08-12,29
"313","Breast Oncosurgery, secondary malignant",2022-08-19,29
"314","Breast Oncosurgery, secondary malignant",2022-08-26,29
"315","Breast Oncosurgery, secondary malignant",2022-09-02,29
"316","Breast Oncosurgery, secondary malignant",2022-09-09,29
"317","Breast Oncosurgery, secondary malignant",2022-09-16,29
"318","Breast Oncosurgery, secondary malignant",2022-09-23,29
"319","Breast Oncosurgery, secondary malignant",2022-09-30,29
"320","Breast Oncosurgery, secondary malignant",2022-10-07,29
"321","Breast Oncosurgery, secondary malignant",2022-10-14,29
"322","Breast Oncosurgery, secondary malignant",2022-10-21,32
"323","Breast Oncosurgery, secondary malignant",2022-10-28,42
"324","Breast Oncosurgery, secondary malignant",2022-11-04,36
"325","Breast Oncosurgery, secondary malignant",2022-11-11,36
"326","Breast Oncosurgery, secondary malignant",2022-11-18,31
"327","Breast Oncosurgery, secondary malignant",2022-11-25,35
"328","Breast Oncosurgery, secondary malignant",2022-12-02,31
"329","Breast Oncosurgery, secondary malignant",2022-12-09,30
"330","Breast Oncosurgery, secondary malignant",2022-12-16,31
"331","Breast Oncosurgery, secondary malignant",2022-12-23,30
"332","Breast Oncosurgery, secondary malignant",2022-12-30,37
"333","Breast Oncosurgery, secondary malignant",2023-01-06,39
"334","Breast Oncosurgery, secondary malignant",2023-01-13,40
"335","Breast Oncosurgery, secondary malignant",2023-01-20,42
"336","Breast Oncosurgery, secondary malignant",2023-01-27,49
"337","Breast Oncosurgery, secondary malignant",2023-02-03,39
"338","Breast Oncosurgery, secondary malignant",2023-02-10,24
"339","Breast Oncosurgery, secondary malignant",2023-02-17,37
"340","Breast Oncosurgery, secondary malignant",2023-02-24,30
"341","Breast Oncosurgery, secondary malignant",2023-03-03,42
"342","Breast Oncosurgery, secondary malignant",2023-03-10,35
"343","Breast Oncosurgery, secondary malignant",2023-03-17,29
"344","Breast Oncosurgery, secondary malignant",2023-03-24,38
"345","Breast Oncosurgery, secondary malignant",2023-03-31,49
"346","Breast Oncosurgery, secondary malignant",2023-04-07,45
"347","Breast Oncosurgery, secondary malignant",2023-04-14,45
"348","Breast Oncosurgery, secondary malignant",2023-04-21,45
"349","Breast Oncosurgery, secondary malignant",2023-04-28,42
"350","Breast Oncosurgery, secondary malignant",2023-05-05,44
"351","Breast Oncosurgery, secondary malignant",2023-05-12,46
"352","Breast Oncosurgery, secondary malignant",2023-05-19,49
"353","Breast Oncosurgery, secondary malignant",2023-05-26,43
"354","Breast Oncosurgery, secondary malignant",2023-06-02,42
"355","Breast Oncosurgery, secondary malignant",2023-06-09,42
"356","Breast Oncosurgery, secondary malignant",2023-06-16,42
"357","Breast Oncosurgery, secondary malignant",2023-06-23,45
"358","Breast Oncosurgery, secondary malignant",2023-06-30,70
"359","Breast Oncosurgery, secondary malignant",2023-07-07,49
"360","Breast Oncosurgery, secondary malignant",2023-07-14,38
"361","Breast Oncosurgery, secondary malignant",2023-07-21,31
"362","Breast Oncosurgery, secondary malignant",2023-07-28,35
"363","Breast Oncosurgery, secondary malignant",2023-08-04,44
"364","Breast Oncosurgery, secondary malignant",2023-08-11,44
"365","Breast Oncosurgery, secondary malignant",2023-08-18,46
"366","Breast Oncosurgery, secondary malignant",2023-08-25,42
"367","Breast Oncosurgery, secondary malignant",2023-09-01,36
"368","Breast Oncosurgery, secondary malignant",2023-09-08,49
"369","Breast Oncosurgery, secondary malignant",2023-09-15,50
"370","Breast Oncosurgery, secondary malignant",2023-09-22,42
"371","Breast Oncosurgery, secondary malignant",2023-09-29,44
"372","Breast Oncosurgery, secondary malignant",2023-10-06,45
"373","Breast Oncosurgery, secondary malignant",2023-10-13,42
"374","Breast Oncosurgery, secondary malignant",2023-10-20,41
"375","Breast Oncosurgery, secondary malignant",2023-10-27,35
"376","Breast Oncosurgery, secondary malignant",2023-11-03,39
"377","Breast Oncosurgery, secondary malignant",2023-11-10,34
"378","Breast Oncosurgery, secondary malignant",2023-11-17,5
"379","Breast Oncosurgery, secondary malignant",2023-11-24,40
"380","Breast Oncosurgery, secondary malignant",2023-12-01,39
"381","Breast Oncosurgery, secondary malignant",2023-12-08,41
"382","Breast Oncosurgery, secondary malignant",2023-12-15,45
"383","Breast Oncosurgery, secondary malignant",2023-12-22,45
"384","Breast Oncosurgery, secondary malignant",2023-12-29,42
"385","Bronchoscopy",2022-03-04,1
"386","Bronchoscopy",2022-03-11,1
"387","Bronchoscopy",2022-03-18,1
"388","Bronchoscopy",2022-03-25,1
"389","Bronchoscopy",2022-04-01,1
"390","Bronchoscopy",2022-04-08,1
"391","Bronchoscopy",2022-04-15,1
"392","Bronchoscopy",2022-04-22,1
"393","Bronchoscopy",2022-04-29,1
"394","Bronchoscopy",2022-05-06,1
"395","Bronchoscopy",2022-05-13,1
"396","Bronchoscopy",2022-05-20,1
"397","Bronchoscopy",2022-05-27,1
"398","Bronchoscopy",2022-06-03,1
"399","Bronchoscopy",2022-06-10,1
"400","Bronchoscopy",2022-06-17,1
"401","Bronchoscopy",2022-06-24,1
"402","Bronchoscopy",2022-07-01,1
"403","Bronchoscopy",2022-07-08,1
"404","Bronchoscopy",2022-07-15,1
"405","Bronchoscopy",2022-07-22,1
"406","Bronchoscopy",2022-07-29,1
"407","Bronchoscopy",2022-08-05,1
"408","Bronchoscopy",2022-08-12,1
"409","Bronchoscopy",2022-08-19,1
"410","Bronchoscopy",2022-08-26,1
"411","Bronchoscopy",2022-09-02,1
"412","Bronchoscopy",2022-09-09,1
"413","Bronchoscopy",2022-09-16,1
"414","Bronchoscopy",2022-09-23,1
"415","Bronchoscopy",2022-09-30,1
"416","Bronchoscopy",2022-10-07,1
"417","Bronchoscopy",2022-10-14,1
"418","Bronchoscopy",2022-10-21,1
"419","Bronchoscopy",2022-10-28,1
"420","Bronchoscopy",2022-11-04,1
"421","Bronchoscopy",2022-11-11,1
"422","Bronchoscopy",2022-11-18,1
"423","Bronchoscopy",2022-11-25,1
"424","Bronchoscopy",2022-12-02,1
"425","Bronchoscopy",2022-12-09,1
"426","Bronchoscopy",2022-12-16,1
"427","Bronchoscopy",2022-12-23,1
"428","Bronchoscopy",2022-12-30,1
"429","Bronchoscopy",2023-01-06,1
"430","Bronchoscopy",2023-01-13,1
"431","Bronchoscopy",2023-01-20,1
"432","Bronchoscopy",2023-01-27,1
"433","Bronchoscopy",2023-02-03,1
"434","Bronchoscopy",2023-02-10,1
"435","Bronchoscopy",2023-02-17,1
"436","Bronchoscopy",2023-02-24,1
"437","Bronchoscopy",2023-03-03,1
"438","Bronchoscopy",2023-03-10,1
"439","Bronchoscopy",2023-03-17,8
"440","Bronchoscopy",2023-03-24,1
"441","Bronchoscopy",2023-03-31,3
"442","Bronchoscopy",2023-04-07,0
"443","Bronchoscopy",2023-04-14,1
"444","Bronchoscopy",2023-04-21,8
"445","Bronchoscopy",2023-04-28,8
"446","Bronchoscopy",2023-05-05,10
"447","Bronchoscopy",2023-05-12,10
"448","Bronchoscopy",2023-05-19,8
"449","Bronchoscopy",2023-05-26,1
"450","Bronchoscopy",2023-06-02,3
"451","Bronchoscopy",2023-06-09,1
"452","Bronchoscopy",2023-06-16,3
"453","Bronchoscopy",2023-06-23,2
"454","Bronchoscopy",2023-06-30,3
"455","Bronchoscopy",2023-07-07,1
"456","Bronchoscopy",2023-07-14,3
"457","Bronchoscopy",2023-07-21,3
"458","Bronchoscopy",2023-07-28,0
"459","Bronchoscopy",2023-08-04,3
"460","Bronchoscopy",2023-08-11,3
"461","Bronchoscopy",2023-08-18,7
"462","Bronchoscopy",2023-08-25,3
"463","Bronchoscopy",2023-09-01,7
"464","Bronchoscopy",2023-09-08,1
"465","Bronchoscopy",2023-09-15,7
"466","Bronchoscopy",2023-09-22,8
"467","Bronchoscopy",2023-09-29,6
"468","Bronchoscopy",2023-10-06,4
"469","Bronchoscopy",2023-10-13,3
"470","Bronchoscopy",2023-10-20,10
"471","Bronchoscopy",2023-10-27,4
"472","Bronchoscopy",2023-11-03,4
"473","Bronchoscopy",2023-11-10,4
"474","Bronchoscopy",2023-11-17,11
"475","Bronchoscopy",2023-11-24,4
"476","Bronchoscopy",2023-12-01,4
"477","Bronchoscopy",2023-12-08,4
"478","Bronchoscopy",2023-12-15,6
"479","Bronchoscopy",2023-12-22,13
"480","Bronchoscopy",2023-12-29,18
"481","Day hospital",2022-03-04,0
"482","Day hospital",2022-03-11,5
"483","Day hospital",2022-03-18,10
"484","Day hospital",2022-03-25,16
"485","Day hospital",2022-04-01,21
"486","Day hospital",2022-04-08,17
"487","Day hospital",2022-04-15,17
"488","Day hospital",2022-04-22,17
"489","Day hospital",2022-04-29,20
"490","Day hospital",2022-05-06,22
"491","Day hospital",2022-05-13,19
"492","Day hospital",2022-05-20,16
"493","Day hospital",2022-05-27,16
"494","Day hospital",2022-06-03,14
"495","Day hospital",2022-06-10,14
"496","Day hospital",2022-06-17,14
"497","Day hospital",2022-06-24,10
"498","Day hospital",2022-07-01,14
"499","Day hospital",2022-07-08,15
"500","Day hospital",2022-07-15,19
"501","Day hospital",2022-07-22,23
"502","Day hospital",2022-07-29,23
"503","Day hospital",2022-08-05,21
"504","Day hospital",2022-08-12,0
"505","Day hospital",2022-08-19,0
"506","Day hospital",2022-08-26,0
"507","Day hospital",2022-09-02,0
"508","Day hospital",2022-09-09,0
"509","Day hospital",2022-09-16,0
"510","Day hospital",2022-09-23,14
"511","Day hospital",2022-09-30,9
"512","Day hospital",2022-10-07,9
"513","Day hospital",2022-10-14,9
"514","Day hospital",2022-10-21,10
"515","Day hospital",2022-10-28,11
"516","Day hospital",2022-11-04,14
"517","Day hospital",2022-11-11,19
"518","Day hospital",2022-11-18,9
"519","Day hospital",2022-11-25,10
"520","Day hospital",2022-12-02,9
"521","Day hospital",2022-12-09,7
"522","Day hospital",2022-12-16,7
"523","Day hospital",2022-12-23,16
"524","Day hospital",2022-12-30,17
"525","Day hospital",2023-01-06,15
"526","Day hospital",2023-01-13,11
"527","Day hospital",2023-01-20,11
"528","Day hospital",2023-01-27,10
"529","Day hospital",2023-02-03,10
"530","Day hospital",2023-02-10,14
"531","Day hospital",2023-02-17,9
"532","Day hospital",2023-02-24,9
"533","Day hospital",2023-03-03,10
"534","Day hospital",2023-03-10,21
"535","Day hospital",2023-03-17,21
"536","Day hospital",2023-03-24,18
"537","Day hospital",2023-03-31,22
"538","Day hospital",2023-04-07,22
"539","Day hospital",2023-04-14,15
"540","Day hospital",2023-04-21,9
"541","Day hospital",2023-04-28,8
"542","Day hospital",2023-05-05,9
"543","Day hospital",2023-05-12,16
"544","Day hospital",2023-05-19,21
"545","Day hospital",2023-05-26,18
"546","Day hospital",2023-06-02,18
"547","Day hospital",2023-06-09,11
"548","Day hospital",2023-06-16,10
"549","Day hospital",2023-06-23,8
"550","Day hospital",2023-06-30,9
"551","Day hospital",2023-07-07,9
"552","Day hospital",2023-07-14,10
"553","Day hospital",2023-07-21,17
"554","Day hospital",2023-07-28,18
"555","Day hospital",2023-08-04,17
"556","Day hospital",2023-08-11,17
"557","Day hospital",2023-08-18,11
"558","Day hospital",2023-08-25,9
"559","Day hospital",2023-09-01,10
"560","Day hospital",2023-09-08,3
"561","Day hospital",2023-09-15,8
"562","Day hospital",2023-09-22,4
"563","Day hospital",2023-09-29,5
"564","Day hospital",2023-10-06,6
"565","Day hospital",2023-10-13,13
"566","Day hospital",2023-10-20,11
"567","Day hospital",2023-10-27,6
"568","Day hospital",2023-11-03,7
"569","Day hospital",2023-11-10,18
"570","Day hospital",2023-11-17,20
"571","Day hospital",2023-11-24,26
"572","Day hospital",2023-12-01,19
"573","Day hospital",2023-12-08,18
"574","Day hospital",2023-12-15,11
"575","Day hospital",2023-12-22,20
"576","Day hospital",2023-12-29,21
"577","Dermato-Oncology",2022-03-04,17
"578","Dermato-Oncology",2022-03-11,14
"579","Dermato-Oncology",2022-03-18,12
"580","Dermato-Oncology",2022-03-25,10
"581","Dermato-Oncology",2022-04-01,7
"582","Dermato-Oncology",2022-04-08,14
