"","Sectie","Data","Zile"
"204","Gastrologie",2023-03-20,0
"205","Gastrologie",2023-03-27,0
"206","Gastrologie",2023-04-03,0
"207","Gastrologie",2023-04-10,0
"208","Gastrologie",2023-04-17,3
"209","Gastrologie",2023-04-24,2
"210","Gastrologie",2023-05-01,1
"211","Gastrologie",2023-05-08,3
"212","Gastrologie",2023-05-15,1
"213","Gastrologie",2023-05-22,0
"214","Gastrologie",2023-05-29,0
"215","Gastrologie",2023-06-05,0
"216","Gastrologie",2023-06-12,0
"217","Gastrologie",2023-06-19,0
"218","Gastrologie",2023-06-26,1
"219","Gastrologie",2023-07-03,3
"220","Gastrologie",2023-07-10,0
"221","Gastrologie",2023-07-17,0
"222","Gastrologie",2023-07-24,0
"223","Gastrologie",2023-07-31,0
"224","Gastrologie",2023-08-07,7
"225","Gastrologie",2023-08-14,0
"226","Gastrologie",2023-08-21,0
"227","Gastrologie",2023-08-28,0
"228","Gastrologie",2023-09-04,0
"229","Gastrologie",2023-09-11,0
"230","Gastrologie",2023-09-18,0
"231","Gastrologie",2023-09-25,0
"232","Tumori ale pielii, melanom și ALM",2022-03-04,17
"233","Tumori ale pielii, melanom și ALM",2022-03-28,7
"234","Tumori ale pielii, melanom și ALM",2022-04-04,14
"235","Tumori ale pielii, melanom și ALM",2022-04-11,15
"236","Tumori ale pielii, melanom și ALM",2022-04-18,8
"237","Tumori ale pielii, melanom și ALM",2022-04-26,7
"238","Tumori ale pielii, melanom și ALM",2022-05-03,7
"239","Tumori ale pielii, melanom și ALM",2022-05-16,0
"240","Tumori ale pielii, melanom și ALM",2022-05-23,0
"241","Tumori ale pielii, melanom și ALM",2022-05-30,7
"242","Tumori ale pielii, melanom și ALM",2022-06-13,1
"243","Tumori ale pielii, melanom și ALM",2022-06-20,7
"244","Tumori ale pielii, melanom și ALM",2022-06-27,2
"245","Tumori ale pielii, melanom și ALM",2022-07-04,7
"246","Tumori ale pielii, melanom și ALM",2022-07-18,8
"247","Tumori ale pielii, melanom și ALM",2022-07-25,7
"248","Tumori ale pielii, melanom și ALM",2022-08-01,10
"249","Tumori ale pielii, melanom și ALM",2022-08-08,8
"250","Tumori ale pielii, melanom și ALM",2022-08-15,9
"251","Tumori ale pielii, melanom și ALM",2022-08-22,9
"252","Tumori ale pielii, melanom și ALM",2022-08-29,10
"253","Tumori ale pielii, melanom și ALM",2022-09-05,124
"254","Tumori ale pielii, melanom și ALM",2022-09-12,124
"255","Tumori ale pielii, melanom și ALM",2022-09-19,124
"256","Tumori ale pielii, melanom și ALM",2022-09-26,1
"257","Tumori ale pielii, melanom și ALM",2022-10-03,14
"258","Tumori ale pielii, melanom și ALM",2022-10-10,3
"259","Tumori ale pielii, melanom și ALM",2022-10-17,8
"260","Tumori ale pielii, melanom și ALM",2022-10-24,1
"261","Tumori ale pielii, melanom și ALM",2022-10-31,1
"262","Tumori ale pielii, melanom și ALM",2022-11-07,1
"263","Tumori ale pielii, melanom și ALM",2022-11-14,1
"264","Tumori ale pielii, melanom și ALM",2022-11-21,21
"265","Tumori ale pielii, melanom și ALM",2022-11-28,22
"266","Tumori ale pielii, melanom și ALM",2022-12-05,14
"267","Tumori ale pielii, melanom și ALM",2022-12-12,7
"268","Tumori ale pielii, melanom și ALM",2022-12-19,15
"269","Tumori ale pielii, melanom și ALM",2022-12-26,2
"270","Tumori ale pielii, melanom și ALM",2023-01-02,2
"271","Tumori ale pielii, melanom și ALM",2023-01-09,7
"272","Tumori ale pielii, melanom și ALM",2023-01-16,1
"273","Tumori ale pielii, melanom și ALM",2023-01-23,7
"274","Tumori ale pielii, melanom și ALM",2023-01-30,9
"275","Tumori ale pielii, melanom și ALM",2023-02-06,14
"276","Tumori ale pielii, melanom și ALM",2023-02-13,3
"277","Tumori ale pielii, melanom și ALM",2023-02-20,9
"278","Tumori ale pielii, melanom și ALM",2023-02-27,7
"279","Tumori ale pielii, melanom și ALM",2023-03-06,6
"280","Tumori ale pielii, melanom și ALM",2023-03-13,2
"281","Tumori ale pielii, melanom și ALM",2023-03-20,6
"282","Tumori ale pielii, melanom și ALM",2023-03-27,5
"283","Tumori ale pielii, melanom și ALM",2023-04-03,9
"284","Tumori ale pielii, melanom și ALM",2023-04-10,4
"285","Tumori ale pielii, melanom și ALM",2023-04-17,15
"286","Tumori ale pielii, melanom și ALM",2023-04-24,16
"287","Tumori ale pielii, melanom și ALM",2023-05-01,15
"288","Tumori ale pielii, melanom și ALM",2023-05-08,3
"289","Tumori ale pielii, melanom și ALM",2023-05-15,1
"290","Tumori ale pielii, melanom și ALM",2023-05-22,0
"291","Tumori ale pielii, melanom și ALM",2023-05-29,0
"292","Tumori ale pielii, melanom și ALM",2023-06-05,2
"293","Tumori ale pielii, melanom și ALM",2023-06-12,0
"294","Tumori ale pielii, melanom și ALM",2023-06-19,1
"295","Tumori ale pielii, melanom și ALM",2023-06-26,1
"296","Tumori ale pielii, melanom și ALM",2023-07-03,14
"297","Tumori ale pielii, melanom și ALM",2023-07-10,17
"298","Tumori ale pielii, melanom și ALM",2023-07-17,14
"299","Tumori ale pielii, melanom și ALM",2023-07-24,1
"300","Tumori ale pielii, melanom și ALM",2023-07-31,0
"301","Tumori ale pielii, melanom și ALM",2023-08-07,0
"302","Tumori ale pielii, melanom și ALM",2023-08-14,1
"303","Tumori ale pielii, melanom și ALM",2023-08-21,1
"304","Tumori ale pielii, melanom și ALM",2023-08-28,10
"305","Tumori ale pielii, melanom și ALM",2023-09-04,3
"306","Tumori ale pielii, melanom și ALM",2023-09-11,21
"307","Tumori ale pielii, melanom și ALM",2023-09-18,2
"308","Tumori ale pielii, melanom și ALM",2023-09-25,24
"309","Urologie",2022-03-04,5
"310","Urologie",2022-03-28,9
"311","Urologie",2022-04-04,7
"312","Urologie",2022-04-11,7
"313","Urologie",2022-04-18,8
"314","Urologie",2022-04-26,7
"315","Urologie",2022-05-03,7
"316","Urologie",2022-05-16,7
"317","Urologie",2022-05-23,7
"318","Urologie",2022-05-30,7
"319","Urologie",2022-06-13,2
"320","Urologie",2022-06-20,7
"321","Urologie",2022-06-27,0
"322","Urologie",2022-07-04,7
"323","Urologie",2022-07-18,8
"324","Urologie",2022-07-25,8
"325","Urologie",2022-08-01,8
"326","Urologie",2022-08-08,7
"327","Urologie",2022-08-15,8
"328","Urologie",2022-08-22,8
"329","Urologie",2022-08-29,8
"330","Urologie",2022-09-05,3
"331","Urologie",2022-09-12,3
"332","Urologie",2022-09-19,3
"333","Urologie",2022-09-26,2
"334","Urologie",2022-10-03,8
"335","Urologie",2022-10-10,2
"336","Urologie",2022-10-17,7
"337","Urologie",2022-10-24,0
"338","Urologie",2022-10-31,0
"339","Urologie",2022-11-07,1
"340","Urologie",2022-11-14,0
"341","Urologie",2022-11-21,0
"342","Urologie",2022-11-28,2
"343","Urologie",2022-12-05,1
"344","Urologie",2022-12-12,1
"345","Urologie",2022-12-19,2
"346","Urologie",2022-12-26,0
"347","Urologie",2023-01-02,1
"348","Urologie",2023-01-09,0
"349","Urologie",2023-01-16,0
"350","Urologie",2023-01-23,1
"351","Urologie",2023-01-30,2
"352","Urologie",2023-02-06,1
"353","Urologie",2023-02-13,2
"354","Urologie",2023-02-20,2
"355","Urologie",2023-02-27,1
"356","Urologie",2023-03-06,3
"357","Urologie",2023-03-13,2
"358","Urologie",2023-03-20,1
"359","Urologie",2023-03-27,1
"360","Urologie",2023-04-03,8
"361","Urologie",2023-04-10,2
"362","Urologie",2023-04-17,3
"363","Urologie",2023-04-24,2
"364","Urologie",2023-05-01,2
"365","Urologie",2023-05-08,3
"366","Urologie",2023-05-15,0
"367","Urologie",2023-05-22,1
"368","Urologie",2023-05-29,0
"369","Urologie",2023-06-05,1
"370","Urologie",2023-06-12,0
"371","Urologie",2023-06-19,0
"372","Urologie",2023-06-26,0
"373","Urologie",2023-07-03,7
"374","Urologie",2023-07-10,7
"375","Urologie",2023-07-17,3
"376","Urologie",2023-07-24,1
"377","Urologie",2023-07-31,1
"378","Urologie",2023-08-07,0
"379","Urologie",2023-08-14,2
"380","Urologie",2023-08-21,2
"381","Urologie",2023-08-28,7
"382","Urologie",2023-09-04,1
"383","Urologie",2023-09-11,1
"384","Urologie",2023-09-18,2
"385","Urologie",2023-09-25,7
"386","Ginecologie",2022-03-04,20
"387","Ginecologie",2022-03-28,12
"388","Ginecologie",2022-04-04,14
"389","Ginecologie",2022-04-11,8
"390","Ginecologie",2022-04-18,9
"391","Ginecologie",2022-04-26,9
"392","Ginecologie",2022-05-03,13
"393","Ginecologie",2022-05-16,17
"394","Ginecologie",2022-05-23,59
"395","Ginecologie",2022-05-30,31
"396","Ginecologie",2022-06-13,10
"397","Ginecologie",2022-06-20,14
"398","Ginecologie",2022-06-27,42
"399","Ginecologie",2022-07-04,10
"400","Ginecologie",2022-07-18,21
"401","Ginecologie",2022-07-25,23
"402","Ginecologie",2022-08-01,21
"403","Ginecologie",2022-08-08,14
"404","Ginecologie",2022-08-15,7
"405","Ginecologie",2022-08-22,21
"406","Ginecologie",2022-08-29,21
"407","Ginecologie",2022-09-05,11
"408","Ginecologie",2022-09-12,11
"409","Ginecologie",2022-09-19,11
"410","Ginecologie",2022-09-26,4
"411","Ginecologie",2022-10-03,9
"412","Ginecologie",2022-10-10,3
"413","Ginecologie",2022-10-17,2
"414","Ginecologie",2022-10-24,11
"415","Ginecologie",2022-10-31,4
"416","Ginecologie",2022-11-07,14
"417","Ginecologie",2022-11-14,26
"418","Ginecologie",2022-11-21,19
"419","Ginecologie",2022-11-28,21
"420","Ginecologie",2022-12-05,14
"421","Ginecologie",2022-12-12,10
"422","Ginecologie",2022-12-19,21
"423","Ginecologie",2022-12-26,15
"424","Ginecologie",2023-01-02,9
"425","Ginecologie",2023-01-09,10
"426","Ginecologie",2023-01-16,9
"427","Ginecologie",2023-01-23,10
"428","Ginecologie",2023-01-30,7
"429","Ginecologie",2023-02-06,7
"430","Ginecologie",2023-02-13,7
"431","Ginecologie",2023-02-20,7
"432","Ginecologie",2023-02-27,4
"433","Ginecologie",2023-03-06,21
"434","Ginecologie",2023-03-13,21
"435","Ginecologie",2023-03-20,21
"436","Ginecologie",2023-03-27,5
"437","Ginecologie",2023-04-03,35
"438","Ginecologie",2023-04-10,35
"439","Ginecologie",2023-04-17,45
"440","Ginecologie",2023-04-24,42
"441","Ginecologie",2023-05-01,40
"442","Ginecologie",2023-05-08,35
"443","Ginecologie",2023-05-15,36
"444","Ginecologie",2023-05-22,36
"445","Ginecologie",2023-05-29,33
"446","Ginecologie",2023-06-05,25
"447","Ginecologie",2023-06-12,23
"448","Ginecologie",2023-06-19,23
"449","Ginecologie",2023-06-26,21
"450","Ginecologie",2023-07-03,25
"451","Ginecologie",2023-07-10,31
"452","Ginecologie",2023-07-17,24
"453","Ginecologie",2023-07-24,24
"454","Ginecologie",2023-07-31,21
"455","Ginecologie",2023-08-07,17
"456","Ginecologie",2023-08-14,25
"457","Ginecologie",2023-08-21,18
"458","Ginecologie",2023-08-28,14
"459","Ginecologie",2023-09-04,14
"460","Ginecologie",2023-09-11,23
"461","Ginecologie",2023-09-18,28
"462","Ginecologie",2023-09-25,15
"463","Mamologie, Benign",2022-03-04,70
"464","Mamologie, Benign",2022-03-28,56
"465","Mamologie, Benign",2022-04-04,60
"466","Mamologie, Benign",2022-04-11,53
"467","Mamologie, Benign",2022-04-18,59
"468","Mamologie, Benign",2022-04-26,65
"469","Mamologie, Benign",2022-05-03,58
"470","Mamologie, Benign",2022-05-16,52
"471","Mamologie, Benign",2022-05-23,49
"472","Mamologie, Benign",2022-05-30,52
"473","Mamologie, Benign",2022-06-13,52
"474","Mamologie, Benign",2022-06-20,59
"475","Mamologie, Benign",2022-06-27,32
"476","Mamologie, Benign",2022-07-04,44
"477","Mamologie, Benign",2022-07-18,45
"478","Mamologie, Benign",2022-07-25,45
"479","Mamologie, Benign",2022-08-01,45
"480","Mamologie, Benign",2022-08-08,45
"481","Mamologie, Benign",2022-08-15,28
"482","Mamologie, Benign",2022-08-22,45
"483","Mamologie, Benign",2022-08-29,45
"484","Mamologie, Benign",2022-09-05,38
"485","Mamologie, Benign",2022-09-12,45
"486","Mamologie, Benign",2022-09-19,43
"487","Mamologie, Benign",2022-09-26,38
"488","Mamologie, Benign",2022-10-03,39
"489","Mamologie, Benign",2022-10-10,32
"490","Mamologie, Benign",2022-10-17,37
"491","Mamologie, Benign",2022-10-24,44
"492","Mamologie, Benign",2022-10-31,43
"493","Mamologie, Benign",2022-11-07,38
"494","Mamologie, Benign",2022-11-14,31
"495","Mamologie, Benign",2022-11-21,56
"496","Mamologie, Benign",2022-11-28,49
"497","Mamologie, Benign",2022-12-05,35
"498","Mamologie, Benign",2022-12-12,28
"499","Mamologie, Benign",2022-12-19,21
"500","Mamologie, Benign",2022-12-26,12
"501","Mamologie, Benign",2023-01-02,57
"502","Mamologie, Benign",2023-01-09,49
"503","Mamologie, Benign",2023-01-16,50
"504","Mamologie, Benign",2023-01-23,43
"505","Mamologie, Benign",2023-01-30,36
"506","Mamologie, Benign",2023-02-06,29
"507","Mamologie, Benign",2023-02-13,24
"508","Mamologie, Benign",2023-02-20,17
"509","Mamologie, Benign",2023-02-27,46
"510","Mamologie, Benign",2023-03-06,39
"511","Mamologie, Benign",2023-03-13,32
"512","Mamologie, Benign",2023-03-20,49
"513","Mamologie, Benign",2023-03-27,53
"514","Mamologie, Benign",2023-04-03,52
"515","Mamologie, Benign",2023-04-10,52
"516","Mamologie, Benign",2023-04-17,45
"517","Mamologie, Benign",2023-04-24,45
"518","Mamologie, Benign",2023-05-01,46
"519","Mamologie, Benign",2023-05-08,46
"520","Mamologie, Benign",2023-05-15,57
"521","Mamologie, Benign",2023-05-22,54
"522","Mamologie, Benign",2023-05-29,64
"523","Mamologie, Benign",2023-06-05,52
"524","Mamologie, Benign",2023-06-12,66
"525","Mamologie, Benign",2023-06-19,57
"526","Mamologie, Benign",2023-06-26,38
"527","Mamologie, Benign",2023-07-03,66
"528","Mamologie, Benign",2023-07-10,50
"529","Mamologie, Benign",2023-07-17,43
"530","Mamologie, Benign",2023-07-24,45
"531","Mamologie, Benign",2023-07-31,64
"532","Mamologie, Benign",2023-08-07,59
"533","Mamologie, Benign",2023-08-14,60
"534","Mamologie, Benign",2023-08-21,59
"535","Mamologie, Benign",2023-08-28,52
"536","Mamologie, Benign",2023-09-04,49
"537","Mamologie, Benign",2023-09-11,53
"538","Mamologie, Benign",2023-09-18,45
"539","Mamologie, Benign",2023-09-25,45
"540","Mamologie, Malign Primar",2022-03-04,70
"541","Mamologie, Malign Primar",2022-03-28,56
"542","Mamologie, Malign Primar",2022-04-04,60
"543","Mamologie, Malign Primar",2022-04-11,19
"544","Mamologie, Malign Primar",2022-04-18,42
"545","Mamologie, Malign Primar",2022-04-26,51
"546","Mamologie, Malign Primar",2022-05-03,44
"547","Mamologie, Malign Primar",2022-05-16,42
"548","Mamologie, Malign Primar",2022-05-23,35
"549","Mamologie, Malign Primar",2022-05-30,35
"550","Mamologie, Malign Primar",2022-06-13,35
"551","Mamologie, Malign Primar",2022-06-20,42
"552","Mamologie, Malign Primar",2022-06-27,38
"553","Mamologie, Malign Primar",2022-07-04,31
"554","Mamologie, Malign Primar",2022-07-18,28
"555","Mamologie, Malign Primar",2022-07-25,28
"556","Mamologie, Malign Primar",2022-08-01,28
"557","Mamologie, Malign Primar",2022-08-08,28
"558","Mamologie, Malign Primar",2022-08-15,17
"559","Mamologie, Malign Primar",2022-08-22,23
"560","Mamologie, Malign Primar",2022-08-29,28
"561","Mamologie, Malign Primar",2022-09-05,21
"562","Mamologie, Malign Primar",2022-09-12,37
"563","Mamologie, Malign Primar",2022-09-19,37
"564","Mamologie, Malign Primar",2022-09-26,35
"565","Mamologie, Malign Primar",2022-10-03,36
"566","Mamologie, Malign Primar",2022-10-10,22
"567","Mamologie, Malign Primar",2022-10-17,22
"568","Mamologie, Malign Primar",2022-10-24,22
"569","Mamologie, Malign Primar",2022-10-31,22
"570","Mamologie, Malign Primar",2022-11-07,22
"571","Mamologie, Malign Primar",2022-11-14,22
"572","Mamologie, Malign Primar",2022-11-21,29
"573","Mamologie, Malign Primar",2022-11-28,30
"574","Mamologie, Malign Primar",2022-12-05,24
"575","Mamologie, Malign Primar",2022-12-12,17
"576","Mamologie, Malign Primar",2022-12-19,14
"577","Mamologie, Malign Primar",2022-12-26,36
"578","Mamologie, Malign Primar",2023-01-02,39
"579","Mamologie, Malign Primar",2023-01-09,38
"580","Mamologie, Malign Primar",2023-01-16,38
"581","Mamologie, Malign Primar",2023-01-23,37
"582","Mamologie, Malign Primar",2023-01-30,28
"583","Mamologie, Malign Primar",2023-02-06,4
"584","Mamologie, Malign Primar",2023-02-13,14
"585","Mamologie, Malign Primar",2023-02-20,24
"586","Mamologie, Malign Primar",2023-02-27,30
"587","Mamologie, Malign Primar",2023-03-06,29
"588","Mamologie, Malign Primar",2023-03-13,24
"589","Mamologie, Malign Primar",2023-03-20,35
"590","Mamologie, Malign Primar",2023-03-27,39
"591","Mamologie, Malign Primar",2023-04-03,42
"592","Mamologie, Malign Primar",2023-04-10,42
"593","Mamologie, Malign Primar",2023-04-17,39
"594","Mamologie, Malign Primar",2023-04-24,39
"595","Mamologie, Malign Primar",2023-05-01,38
"596","Mamologie, Malign Primar",2023-05-08,43
"597","Mamologie, Malign Primar",2023-05-15,43
"598","Mamologie, Malign Primar",2023-05-22,37
"599","Mamologie, Malign Primar",2023-05-29,42
"600","Mamologie, Malign Primar",2023-06-05,35
"601","Mamologie, Malign Primar",2023-06-12,35
"602","Mamologie, Malign Primar",2023-06-19,42
"603","Mamologie, Malign Primar",2023-06-26,14
"604","Mamologie, Malign Primar",2023-07-03,32
"605","Mamologie, Malign Primar",2023-07-10,35
"606","Mamologie, Malign Primar",2023-07-17,22
"607","Mamologie, Malign Primar",2023-07-24,23
"608","Mamologie, Malign Primar",2023-07-31,44
